Dataset,Model,Predict Function of Model,Metric Function,Mean,Std,N
chest_xray_nih__densenet,BR_AdaBoostClassifier,Marginal Scores,Average Precision,0.8080736,0.0006455666503158116,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Marginal Scores,Coverage Score,0.8252051999999999,0.0007944140608020225,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Marginal Scores,One-Error Score,0.2752148,0.0015995595331215382,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Marginal Scores,Ranking Loss Score,0.8824458,0.0004901639521629534,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Fmeasure,Fmeasure Score,0.1715516,4.755838517023052e-05,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Fmeasure,Hamming Accuracy,0.11026860000000001,0.000226436083696929,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Fmeasure,Informedness,0.502487,0.00018383280447187186,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Fmeasure,Macro F1,0.18361639999999999,2.227779163202152e-05,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Fmeasure,Markedness,0.07322500000000001,0.0010088486011290265,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Fmeasure,Micro F1,0.1910722,4.437566900904498e-05,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Fmeasure,Negative Predictive Value,0.041061,0.0019905086033473974,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Fmeasure,Precision Score,0.1053892,3.4032337562971576e-05,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Fmeasure,Recall Score,0.546259,2.4197107265161585e-05,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Fmeasure,Subset Accuracy,0.0,0.0,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.4607038,0.001362408051943333,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.8939324,0.00031094259920444423,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Hamming,Informedness,0.5175812000000001,0.0008611751854297103,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Hamming,Macro F1,0.0733184,0.002732502662395771,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Hamming,Markedness,0.6849947999999999,0.0008526260610607823,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Hamming,Micro F1,0.0971596,0.0025771000756664485,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.8993460000000001,0.00016188112922762773,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Hamming,Precision Score,0.4706434,0.0015737942368683464,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Hamming,Recall Score,0.45679860000000005,0.001280164950309149,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.4445776,0.0010201425390601185,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Informedness,Fmeasure Score,0.23855120000000002,0.00016867631724696615,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Informedness,Hamming Accuracy,0.49719860000000005,0.0004357456827095494,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Informedness,Informedness,0.5778296,0.0007974711907022396,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Informedness,Macro F1,0.2186636,0.0002853336643300232,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Informedness,Markedness,0.5706506,0.00019749759492208882,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Informedness,Micro F1,0.2656606,0.00019629391228463385,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Informedness,Negative Predictive Value,0.9702757999999999,0.0002917133867343096,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Informedness,Precision Score,0.1710266,0.00013231704349779837,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Informedness,Recall Score,0.47884859999999996,0.0005604509791230579,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Informedness,Subset Accuracy,0.005337400000000001,0.0001882532868238957,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Markedness,Fmeasure Score,0.2219782,0.00024645425539033123,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Markedness,Hamming Accuracy,0.3983354,0.0015196566388496903,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Markedness,Informedness,0.5573416,0.0010668061210923334,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Markedness,Macro F1,0.2020854,0.00025053003811919026,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Markedness,Markedness,0.5735718000000001,0.0003066475175180182,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Markedness,Micro F1,0.2341014,0.00014674399476638853,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Markedness,Negative Predictive Value,0.9757498,0.0004560654558284364,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Markedness,Precision Score,0.1713924,0.0005249031339209161,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Markedness,Recall Score,0.48301879999999997,0.0010537593178710284,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Markedness,Subset Accuracy,0.029559400000000003,0.0010615548973086618,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict NPV,Fmeasure Score,0.1872794,9.623564828066835e-05,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict NPV,Hamming Accuracy,0.22623319999999997,9.836513610013896e-05,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict NPV,Informedness,0.5354536000000001,0.000873459672795493,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict NPV,Macro F1,0.191341,0.0001514925740754361,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict NPV,Markedness,0.5512204,0.00022348445136072414,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict NPV,Micro F1,0.21050960000000002,0.00010145343759578377,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict NPV,Negative Predictive Value,0.9845376,0.0003924650302893367,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict NPV,Precision Score,0.11790439999999999,5.553197277244756e-05,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict NPV,Recall Score,0.5372874,0.00034819721423354146,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict NPV,Subset Accuracy,0.0,0.0,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Precision,Fmeasure Score,0.21733320000000003,0.0012432796145678568,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Precision,Hamming Accuracy,0.8387043999999999,0.0003997377890567679,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Precision,Informedness,0.5587592,0.0013177352541386708,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Precision,Macro F1,0.2126068,0.002538636287458278,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Precision,Markedness,0.5972092,0.0009135396543117309,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Precision,Micro F1,0.29898220000000003,0.001720255417082002,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Precision,Negative Predictive Value,0.9192034,0.00022738909384576418,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Precision,Precision Score,0.2752148,0.0015995595331215382,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Precision,Recall Score,0.1929142,0.001126646439660638,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Precision,Subset Accuracy,0.1276062,0.0009329266852223753,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Recall,Fmeasure Score,0.1711482,8.366600265342903e-07,5
chest_xray_nih__densenet,BR_AdaBoostClassifier,Predict Recall,Hamming Accuracy,0.1050996,8.944271909996467e-07,5
